Permutacja: 0 | 1 | 3 | 2 | Czas: 36 | Cmax od maszyny: 3
Permutacja: 0 | 2 | 1 | 3 | Czas: 36 | Cmax od maszyny: 3
Permutacja: 0 | 2 | 3 | 1 | Czas: 36 | Cmax od maszyny: 3
Permutacja: 0 | 3 | 1 | 2 | Czas: 35 | Cmax od maszyny: 3
Permutacja: 0 | 3 | 2 | 1 | Czas: 32 | Cmax od maszyny: 3
Permutacja: 1 | 0 | 2 | 3 | Czas: 40 | Cmax od maszyny: 3
Permutacja: 1 | 0 | 3 | 2 | Czas: 38 | Cmax od maszyny: 3
Permutacja: 1 | 2 | 0 | 3 | Czas: 45 | Cmax od maszyny: 3
Permutacja: 1 | 2 | 3 | 0 | Czas: 47 | Cmax od maszyny: 3
Permutacja: 1 | 3 | 0 | 2 | Czas: 42 | Cmax od maszyny: 3
Permutacja: 1 | 3 | 2 | 0 | Czas: 43 | Cmax od maszyny: 3
Permutacja: 2 | 0 | 1 | 3 | Czas: 41 | Cmax od maszyny: 3
Permutacja: 2 | 0 | 3 | 1 | Czas: 41 | Cmax od maszyny: 3
Permutacja: 2 | 1 | 0 | 3 | Czas: 41 | Cmax od maszyny: 3
Permutacja: 2 | 1 | 3 | 0 | Czas: 43 | Cmax od maszyny: 3
Permutacja: 2 | 3 | 0 | 1 | Czas: 43 | Cmax od maszyny: 3
Permutacja: 2 | 3 | 1 | 0 | Czas: 43 | Cmax od maszyny: 3
Permutacja: 3 | 0 | 1 | 2 | Czas: 38 | Cmax od maszyny: 3
Permutacja: 3 | 0 | 2 | 1 | Czas: 38 | Cmax od maszyny: 3
Permutacja: 3 | 1 | 0 | 2 | Czas: 38 | Cmax od maszyny: 3
Permutacja: 3 | 1 | 2 | 0 | Czas: 42 | Cmax od maszyny: 3
Permutacja: 3 | 2 | 0 | 1 | Czas: 39 | Cmax od maszyny: 3
Permutacja: 3 | 2 | 1 | 0 | Czas: 39 | Cmax od maszyny: 3
